Loading ArcFace recognition model...
  Input shape: ['None', 3, 112, 112]
  Model loaded!
Total observations to re-embed: 156194
[19200/156194] success=19200 failed=0 rate=7.2/s ETA=18998s
[19400/156194] success=19400 failed=0 rate=7.2/s ETA=18987s
[19600/156194] success=19600 failed=0 rate=7.2/s ETA=18974s
[19800/156194] success=19800 failed=0 rate=7.2/s ETA=18934s
[20000/156194] success=20000 failed=0 rate=7.2/s ETA=18927s
[20200/156194] success=20200 failed=0 rate=7.2/s ETA=18883s
[20400/156194] success=20400 failed=0 rate=7.2/s ETA=18861s
[20600/156194] success=20600 failed=0 rate=7.2/s ETA=18801s
[20800/156194] success=20800 failed=0 rate=7.2/s ETA=18770s
[21000/156194] success=21000 failed=0 rate=7.2/s ETA=18730s
[21200/156194] success=21200 failed=0 rate=7.2/s ETA=18667s
[21400/156194] success=21400 failed=0 rate=7.2/s ETA=18632s
[21600/156194] success=21600 failed=0 rate=7.2/s ETA=18611s
[21800/156194] success=21800 failed=0 rate=7.2/s ETA=18595s
[22000/156194] success=22000 failed=0 rate=7.2/s ETA=18604s
[22200/156194] success=22200 failed=0 rate=7.2/s ETA=18534s
[22400/156194] success=22400 failed=0 rate=7.2/s ETA=18489s
[22600/156194] success=22600 failed=0 rate=7.2/s ETA=18454s
[22800/156194] success=22800 failed=0 rate=7.2/s ETA=18438s
[23000/156194] success=23000 failed=0 rate=7.2/s ETA=18379s
[23200/156194] success=23200 failed=0 rate=7.2/s ETA=18357s
[23400/156194] success=23400 failed=0 rate=7.3/s ETA=18298s
[23600/156194] success=23600 failed=0 rate=7.3/s ETA=18265s
[23800/156194] success=23800 failed=0 rate=7.3/s ETA=18222s
[24000/156194] success=24000 failed=0 rate=7.3/s ETA=18184s
[24200/156194] success=24200 failed=0 rate=7.3/s ETA=18158s
[24400/156194] success=24400 failed=0 rate=7.3/s ETA=18120s
[24600/156194] success=24600 failed=0 rate=7.3/s ETA=18082s
[24800/156194] success=24800 failed=0 rate=7.3/s ETA=18042s
[25000/156194] success=25000 failed=0 rate=7.3/s ETA=17992s
[25200/156194] success=25200 failed=0 rate=7.3/s ETA=17957s
[25400/156194] success=25400 failed=0 rate=7.3/s ETA=17919s
[25600/156194] success=25600 failed=0 rate=7.3/s ETA=17883s
[25800/156194] success=25800 failed=0 rate=7.3/s ETA=17832s
[26000/156194] success=26000 failed=0 rate=7.3/s ETA=17801s
[26200/156194] success=26200 failed=0 rate=7.3/s ETA=17762s
[26400/156194] success=26400 failed=0 rate=7.3/s ETA=17706s
[26600/156194] success=26600 failed=0 rate=7.3/s ETA=17696s
[26800/156194] success=26800 failed=0 rate=7.3/s ETA=17654s
[27000/156194] success=27000 failed=0 rate=7.3/s ETA=17632s
[27200/156194] success=27200 failed=0 rate=7.3/s ETA=17568s
[27400/156194] success=27400 failed=0 rate=7.3/s ETA=17538s
[27600/156194] success=27600 failed=0 rate=7.3/s ETA=17504s
[27800/156194] success=27800 failed=0 rate=7.4/s ETA=17468s
[28000/156194] success=28000 failed=0 rate=7.3/s ETA=17444s
[28200/156194] success=28200 failed=0 rate=7.4/s ETA=17389s
[28400/156194] success=28400 failed=0 rate=7.4/s ETA=17365s
[28600/156194] success=28600 failed=0 rate=7.4/s ETA=17323s
[28800/156194] success=28800 failed=0 rate=7.4/s ETA=17309s
[29000/156194] success=29000 failed=0 rate=7.4/s ETA=17254s
[29200/156194] success=29200 failed=0 rate=7.4/s ETA=17236s
[29400/156194] success=29400 failed=0 rate=7.4/s ETA=17186s
[29600/156194] success=29600 failed=0 rate=7.4/s ETA=17149s
[29800/156194] success=29800 failed=0 rate=7.4/s ETA=17115s
[30000/156194] success=30000 failed=0 rate=7.4/s ETA=17080s
[30200/156194] success=30200 failed=0 rate=7.4/s ETA=17044s
[30400/156194] success=30400 failed=0 rate=7.4/s ETA=17008s
[30600/156194] success=30600 failed=0 rate=7.4/s ETA=16992s
[30800/156194] success=30800 failed=0 rate=7.4/s ETA=16932s
[31000/156194] success=31000 failed=0 rate=7.4/s ETA=16902s
[31200/156194] success=31200 failed=0 rate=7.4/s ETA=16871s
[31400/156194] success=31400 failed=0 rate=7.4/s ETA=16835s
[31600/156194] success=31600 failed=0 rate=7.4/s ETA=16800s
[31800/156194] success=31800 failed=0 rate=7.4/s ETA=16764s
[32000/156194] success=32000 failed=0 rate=7.4/s ETA=16727s
