PyTorch CUDA: True
GPU: NVIDIA RTX A6000
Loading ArcFace model...
Available ONNX providers: ['TensorrtExecutionProvider', 'CUDAExecutionProvider', 'CPUExecutionProvider']
  Using providers: ['CUDAExecutionProvider', 'CPUExecutionProvider']
Model loaded!
Total observations to re-embed: 156194
[48000/156194] success=48000 failed=0 rate=178.5/s ETA=606s
[48500/156194] success=48500 failed=0 rate=178.5/s ETA=603s
[49000/156194] success=49000 failed=0 rate=178.3/s ETA=601s
[49500/156194] success=49500 failed=0 rate=178.3/s ETA=598s
[50000/156194] success=50000 failed=0 rate=178.2/s ETA=596s
[50500/156194] success=50500 failed=0 rate=178.4/s ETA=593s
[51000/156194] success=51000 failed=0 rate=178.3/s ETA=590s
[51500/156194] success=51500 failed=0 rate=178.5/s ETA=587s
[52000/156194] success=52000 failed=0 rate=178.3/s ETA=584s
[52500/156194] success=52500 failed=0 rate=177.8/s ETA=583s
[53000/156194] success=53000 failed=0 rate=177.5/s ETA=581s
[53500/156194] success=53500 failed=0 rate=177.5/s ETA=579s
[54000/156194] success=54000 failed=0 rate=177.6/s ETA=575s
[54500/156194] success=54500 failed=0 rate=177.7/s ETA=572s
[55000/156194] success=55000 failed=0 rate=175.2/s ETA=577s
[55500/156194] success=55500 failed=0 rate=175.1/s ETA=575s
[56000/156194] success=56000 failed=0 rate=174.9/s ETA=573s
[56500/156194] success=56500 failed=0 rate=177.3/s ETA=562s
[57000/156194] success=57000 failed=0 rate=177.5/s ETA=559s
[57500/156194] success=57500 failed=0 rate=177.6/s ETA=556s
[58000/156194] success=58000 failed=0 rate=177.8/s ETA=552s
[58500/156194] success=58500 failed=0 rate=178.0/s ETA=549s
[59000/156194] success=59000 failed=0 rate=177.9/s ETA=546s
[59500/156194] success=59500 failed=0 rate=177.8/s ETA=544s
[60000/156194] success=60000 failed=0 rate=177.8/s ETA=541s
[60500/156194] success=60500 failed=0 rate=177.6/s ETA=539s
[61000/156194] success=61000 failed=0 rate=177.6/s ETA=536s
[61500/156194] success=61500 failed=0 rate=177.5/s ETA=534s
[62000/156194] success=62000 failed=0 rate=177.6/s ETA=530s
[62500/156194] success=62500 failed=0 rate=177.5/s ETA=528s
[63000/156194] success=63000 failed=0 rate=177.3/s ETA=526s
[63500/156194] success=63500 failed=0 rate=177.4/s ETA=522s
[64000/156194] success=64000 failed=0 rate=177.3/s ETA=520s
[64500/156194] success=64500 failed=0 rate=177.1/s ETA=518s
[65000/156194] success=65000 failed=0 rate=176.9/s ETA=516s
[65500/156194] success=65500 failed=0 rate=176.5/s ETA=514s
[66000/156194] success=66000 failed=0 rate=176.3/s ETA=512s
[66500/156194] success=66500 failed=0 rate=176.1/s ETA=509s
[67000/156194] success=67000 failed=0 rate=175.9/s ETA=507s
[67500/156194] success=67500 failed=0 rate=175.9/s ETA=504s
[68000/156194] success=68000 failed=0 rate=175.7/s ETA=502s
[68500/156194] success=68500 failed=0 rate=175.4/s ETA=500s
[69000/156194] success=69000 failed=0 rate=175.3/s ETA=497s
[69500/156194] success=69500 failed=0 rate=172.8/s ETA=502s
[70000/156194] success=70000 failed=0 rate=172.7/s ETA=499s
[70500/156194] success=70500 failed=0 rate=172.5/s ETA=497s
[71000/156194] success=71000 failed=0 rate=172.2/s ETA=495s
[71500/156194] success=71500 failed=0 rate=174.3/s ETA=486s
[72000/156194] success=72000 failed=0 rate=174.1/s ETA=484s
[72500/156194] success=72500 failed=0 rate=174.1/s ETA=481s
[73000/156194] success=73000 failed=0 rate=174.2/s ETA=478s
[73500/156194] success=73500 failed=0 rate=174.0/s ETA=475s
[74000/156194] success=74000 failed=0 rate=173.9/s ETA=473s
[74500/156194] success=74500 failed=0 rate=173.9/s ETA=470s
[75000/156194] success=75000 failed=0 rate=173.9/s ETA=467s
[75500/156194] success=75500 failed=0 rate=173.8/s ETA=464s
[76000/156194] success=76000 failed=0 rate=173.8/s ETA=461s
[76500/156194] success=76500 failed=0 rate=173.8/s ETA=458s
[77000/156194] success=77000 failed=0 rate=174.0/s ETA=455s
[77500/156194] success=77500 failed=0 rate=173.9/s ETA=452s
[78000/156194] success=78000 failed=0 rate=173.8/s ETA=450s
[78500/156194] success=78500 failed=0 rate=173.6/s ETA=448s
[79000/156194] success=79000 failed=0 rate=173.3/s ETA=445s
[79500/156194] success=79500 failed=0 rate=173.3/s ETA=442s
